source,species,order,harass?,nup_gift?,lifetime?,bias?,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_long,con_long_SD,exp_long,exp_long_SD,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
Toft and Albo (2015),Pisaura mirabilis,Arachnida,n,y,n,n,once_many,1,141,8,9,2,NA,NA,NA,NA,78.6,21.5,55.8,13.8,NA,NA,NA,NA
Tseng et al. (2007),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,142,21,21,21,13.4,2.7,15.5,3.2,77.3,30.2,96.5,27.5,NA,NA,NA,NA
Tuler et al. (2018),Tenuisvalvae gnoma,Coleoptera,n,n,n,n,once_ten,1,143,10,10,10,NA,NA,NA,NA,14.57,11.68,10.18,9.49,7.8,6.8,5.53,6.7
"Uhl, Schmitt and Schafer (2005)",Pholcus phalangioides,Arachnida,n,n,n,y,once_twice,1,144,29,35,29,NA,NA,NA,NA,NA,NA,NA,NA,68.85,39.56,53.86,28.27
Vahed (2003),Leptophyes punctatissima,Orthoptera,n,y,n,n,once_twice,1,145,8,12,8,NA,NA,NA,NA,40.1,19.52,98,19.75,NA,NA,NA,NA
Wagner et al. (2001),Gryllus lineaticeps,Orthoptera,n,y,y,y,once_thrice,1,146,19,19,19,58.5,24,78.4,24,332.6,353.1,661.8,305.6,NA,NA,NA,NA
Wang and Davis (2006),Nysius huttoni,Hemiptera,n,n,n,n,once_twice,1,147,45,45,22.5,NA,NA,NA,NA,326.21,744.91,363.87,891.05,NA,NA,NA,NA
Wang and Davis (2006),Nysius huttoni,Hemiptera,y,n,n,n,once_many,1,147,45,22,22.5,NA,NA,NA,NA,326.21,744.91,408.07,796.71,NA,NA,NA,NA
Wang et al. (2005),Plutella xylostella,Lepidoptera,n,y,y,y,once_twice,1,148,32,8,32,6.86,3.4,7.17,1.8,127.87,124.3,143.18,83.2,NA,NA,NA,NA
Wang et al. (2018),Galerucella birmanica,Coleoptera,n,n,y,n,once_twice,1,149,10,10,10,60.68,5.84,41.11,5.35,387.54,20.04,395.2,33.41,191.58,14.98,198.95,18.31
Wang et al. (2021),Aphelinus asychis,Hymenoptera,n,n,y,n,once_twice,1,150,40,34,10,23.05,4.99,21.4,5.6,NA,NA,NA,NA,NA,NA,NA,NA
Wang et al. (2021),Aphelinus asychis,Hymenoptera,n,n,y,n,once_three,1,150,40,28,10,23.05,4.99,20,6.46,NA,NA,NA,NA,NA,NA,NA,NA
Wang et al. (2021),Aphelinus asychis,Hymenoptera,n,n,y,n,once_four,1,150,40,19,10,23.05,4.99,19.76,3.44,NA,NA,NA,NA,NA,NA,NA,NA
Wang et al. (2021),Aphelinus asychis,Hymenoptera,n,n,y,n,once_five,1,150,40,12,10,23.05,4.99,18.72,3.39,NA,NA,NA,NA,NA,NA,NA,NA
